"Feature ID"	"Expression values"	"Gene length"	"Unique gene reads"	"Total gene reads"	"RPKM"	"Chromosome region start"	"Chromosome region end"
MT0044	62.584	348	374	374	62.584	41948	42295
mtc28	180.693	933	2895	2895	180.693	42377	43309
leuS	21.152	2910	1057	1057	21.152	43506	46415
MT0048	14.117	627	152	152	14.117	46525	47151
MT0049	13.944	735	176	176	13.944	47310	48044
MT0050	14.357	795	196	196	14.357	48177	48971
MT0051	109.196	897	1682	1682	109.196	48987	49883
MT0052	942.657	1104	17871	17871	942.657	49965	51068
MT0053	563.998	543	5259	5259	563.998	51129	51671
MT0054	17.872	870	267	267	17.872	51772	52641
MT0055	123.36	414	877	877	123.36	52775	53188
ponA	118.382	2463	5007	5007	118.382	53181	55643
MT0057	39.427	1638	1109	1109	39.427	55685	57322
MT0058	30.803	639	338	338	30.803	57279	57917
rpsF	42.425	291	212	212	42.425	58136	58426
ssb	60.587	495	515	515	60.587	58530	59024
rpsR (NC_002755 59065..59320)	60.061	255	263	263	60.061	59066	59320
rplI	78.406	459	618	618	78.406	59353	59811
MT0063	62.138	522	557	557	62.138	59840	60361
dnaB	85.587	2625	3858	3858	85.587	60340	62964
MT0065	40.083	693	477	477	40.083	63144	63836
MT0066	87.488	1059	1591	1591	87.488	63853	64911
MT0066.1	144.591	381	946	946	144.591	64956	65336
MT0066.2	93.775	213	343	343	93.775	65344	65556
celA	26.493	1143	520	520	26.493	65496	66638
mitR	38.135	1440	943	943	38.135	66867	68306
MT0069	48.169	162	134	134	48.169	68362	68523
MT0070	68.553	2940	3461	3461	68.553	68564	71503
MT0071	45.051	402	311	311	45.051	71802	72203
icd-1	43.09	2238	1656	1656	43.09	72255	74492
MT0073	17.879	570	175	175	17.879	74610	75179
MT0074	17.623	912	276	276	17.623	75282	76193
sdaA	11.638	1386	277	277	11.638	76218	77603
glyA (NC_002755 77599..78877)	8.566	1278	188	188	8.566	77600	78877
MT0077	6.173	717	76	76	6.173	79467	80183
MT0078	41.374	1050	746	746	41.374	80614	81663
MT0079	45.567	993	777	777	45.567	81666	82658
MT0080	30.954	1236	657	657	30.954	82738	83973
MT0081	25.418	1173	512	512	25.418	83986	85158
MT0082	18.665	390	125	125	18.665	85173	85562
MT0083	29.219	855	429	429	29.219	85626	86480
MT0084	9.129	606	95	95	9.129	86518	87123
MT0085	56.175	594	573	573	56.175	87198	87791
MT0085.1	170.053	213	622	622	170.053	87788	88000
MT0086	47.111	822	665	665	47.111	88194	89015
MT0087	30.383	414	216	216	30.383	89057	89470
MT0088	21.099	345	125	125	21.099	89565	89909
MT0089	36.639	480	302	302	36.639	89914	90393
MT0090	15.384	1923	508	508	15.384	90390	92312
hycD	28.413	951	464	464	28.413	92318	93268
hyfE	23.891	663	272	272	23.891	93279	93941
MT0093	32.193	1467	811	811	32.193	93941	95407
hycE	8.692	1293	193	193	8.692	95590	96882
MT0096	63.151	675	732	732	63.151	96917	97591
MT0098	11.274	594	115	115	11.274	97748	98341
MT0099	5.061	771	67	67	5.061	98470	99240
MT0099.1	3.287	372	21	21	3.287	99259	99630
MT0100	10.616	768	140	140	10.616	99674	100441
MT0101	23.13	2286	908	908	23.13	100573	102858
MT0102	18.725	849	273	273	18.725	102805	103653
MT0103	27.162	864	95	403	27.162	103700	104563
MT0104	7.323	668	51	84	7.323	104424	105091
MT0105	3.389	1392	81	81	3.389	105314	106705
MT0106	11.446	870	171	171	11.446	106724	107593
MT0107	10.55	552	100	100	10.55	107590	108141
MT0108	12.522	1623	349	349	12.522	108146	109768
MT0109	13.76	237	56	56	13.76	109773	110009
MT0110	21.436	7563	2784	2784	21.436	109967	117529
MT0111	39.995	1986	1364	1364	39.995	117704	119689
MT0112	29.697	2259	1152	1152	29.697	119905	122163
MT0113	12.262	1515	319	319	12.262	122307	123821
rpmB (NC_002755 123969..124254)	1.839	285	9	9	1.839	123970	124254
MT0115	24.811	1197	510	510	24.811	124364	125560
MT0116	47.597	4878	3987	3987	47.597	125655	130532
MT0116.1	39.285	126	85	85	39.285	130572	130697
MT0117	164.011	207	583	583	164.011	130886	131092
MT0118	8.688	1602	239	239	8.688	131263	132864
MT0119	20.365	855	299	299	20.365	132907	133761
MT0120	47.821	2058	1690	1690	47.821	133942	135999
MT0121	42.839	957	704	704	42.839	136281	137237
gmhA	36.517	1263	792	792	36.517	137242	138504
MT0123	26.734	1161	533	533	26.734	138504	139664
MT0124	8.011	189	26	26	8.011	139947	140135
MT0125	36.891	633	401	401	36.891	140258	140890
MT0125.1	5.94	951	97	97	5.94	141185	142135
oxc	6.626	1749	199	199	6.626	142119	143867
MT0127	10.367	1629	290	290	10.367	143989	145617
fusA-1	25.33	2145	933	933	25.33	145618	147762
MT0129	11.513	435	86	86	11.513	147899	148333
MT0130	9.844	420	71	71	9.844	148443	148862
MT0131	12.31	369	78	78	12.31	148847	149215
MT0132	6.148	1686	178	178	6.148	149482	151167
MT0133	82.007	1068	1504	1504	82.007	151319	152386
MT0134	26.892	1806	834	834	26.892	152495	154300
pep2	33.246	1368	781	781	33.246	154403	155770
MT0136	19.262	780	258	258	19.262	155838	156617
fbpC	351.024	1041	6275	6275	351.024	156749	157789
MT0138	12.771	456	100	100	12.771	158018	158473
MT0139	11.439	1344	264	264	11.439	158486	159829
MT0140	8.281	1083	154	154	8.281	159871	160953
MT0141	72.552	606	755	755	72.552	161040	161645
MT0142	89.511	903	1388	1388	89.511	161942	162844
MT0143	75.531	606	786	786	75.531	162815	163420
MT0144	17.567	1326	400	400	17.567	163537	164862
msrA	35.322	549	333	333	35.322	164883	165431
MT0146	19.642	504	170	170	19.642	165494	165997
MT0147	39.733	1023	698	698	39.733	165998	167020
MT0148	40.504	381	265	265	40.504	167081	167461
MT0149	83.312	411	588	588	83.312	167442	167852
MT0150	36.812	927	586	586	36.812	167882	168808
MT0151	47.721	1479	1212	1212	47.721	168875	170353
MT0152	286.885	843	4153	4153	286.885	170455	171297
MT0153	500.48	954	8199	8199	500.48	171386	172339
MT0154	230.462	942	3728	3728	230.462	172373	173314
MT0155	154.027	1476	3904	3904	154.027	173454	174929
MT0156	154.167	882	2335	2335	154.167	174983	175864
MT0157	90.626	969	1508	1508	90.626	175871	176839
MT0158	19.411	288	96	96	19.411	176836	177123
MT0159	1.849	126	4	4	1.849	177559	177684
MT0160	9.03	1767	274	274	9.03	177714	179480
MT0161	4.58	1602	126	126	4.58	179490	181091
MT0162	28.381	831	405	405	28.381	181326	182156
MT0163	38.68	1224	813	813	38.68	182158	183381
MT0164	30.928	1431	760	760	30.928	183793	185223
pntB	82.335	1428	2019	2019	82.335	185220	186647
MT0167	47.309	645	524	524	47.309	186953	187597
MT0168	25.909	1407	626	626	25.909	187601	189007
MT0169	2.663	1509	69	69	2.663	189099	190607
MT0170	6.466	1351	150	150	6.466	190775	192125
MT0171	8.29	1152	164	164	8.29	192153	193304
MT0172	11.11	456	87	87	11.11	193286	193741
MT0173	105.683	486	882	882	105.683	193795	194280
MT0174	49.828	672	575	575	49.828	194313	194984
MT0175	55.055	1557	1472	1472	55.055	195270	196826
MT0176	234.248	798	3210	3210	234.248	197030	197827
MT0177	119.817	678	1395	1395	119.817	197778	198455
mce-1	157.716	1584	4290	4290	157.716	198484	200067
MT0179	238.361	1041	4261	4261	238.361	200064	201104
MT0180	305.717	1521	7985	7985	305.717	201128	202648
MT0181	358.285	1593	9801	9801	358.285	202645	204237
MT0182	305.652	1170	6141	6141	305.652	204237	205406
MT0183	636.696	1548	16925	16925	636.696	205400	206947
MT0184	598.164	585	6009	6009	598.164	206983	207567
MT0185	242.489	963	4010	4010	242.489	207570	208532
MT0186	328.417	555	3130	3130	328.417	208529	209083
MT0187	199.183	735	2514	2514	199.183	209050	209784
MT0188	115.575	1110	2203	2203	115.575	209815	210924
MT0189	25.667	1359	599	599	25.667	211004	212362
MT0190	31.137	735	393	393	31.137	212389	213123
sigG	51.118	1113	975	977	51.118	213140	214252
MT0192	31.633	972	525	528	31.633	214068	215039
MT0193	89.369	750	1151	1151	89.369	215081	215830
MT0194	69.424	510	608	608	69.424	215827	216336
MT0195	139.89	2076	4987	4987	139.89	216381	218456
MT0196	731.875	162	2036	2036	731.875	218502	218663
MT0197	35.72	657	403	403	35.72	218823	219479
MT0198	99.348	432	737	737	99.348	219598	220029
ilvD	71.478	1728	2121	2121	71.478	220108	221835
MT0200	202.717	291	1013	1013	202.717	221983	222273
MT0201	45.855	1242	978	978	45.855	222401	223642
MT0202	65.374	1101	1236	1236	65.374	223676	224776
MT0203	10.359	1827	325	325	10.359	224836	226662
MT0204	4.11	3726	263	263	4.11	226849	230574
MT0204.1	2.718	150	7	7	2.718	230593	230742
MT0205	35.273	771	467	467	35.273	230876	231646
MT0206	28.768	585	289	289	28.768	231759	232343
MT0207	27.745	2250	1072	1072	27.745	232340	234589
MT0208	50.574	1992	1730	1730	50.574	234630	236621
MT0209	28.003	549	264	264	28.003	236775	237323
MT0210	47.6	690	564	564	47.6	237320	238009
MT0211	63.145	498	540	540	63.145	238006	238503
MT0212	65.139	2901	3245	3245	65.139	238506	241406
MT0213	46.757	411	330	330	46.757	241628	242038
MT0214	59.362	1239	1263	1263	59.362	242090	243328
MT0215	38.611	1104	732	732	38.611	243498	244601
MT0216	253.558	2835	12344	12344	253.558	244598	247432
MT0217	165.035	735	2083	2083	165.035	247498	248232
trmB	76.321	792	1038	1038	76.321	248229	249020
MT0219	17.481	1086	326	326	17.481	249152	250237
MT0220	9.947	1446	247	247	9.947	250267	251712
pckA	364.304	1821	11392	11392	364.304	251896	253716
MT0222	35.288	972	589	589	35.288	253783	254754
MT0223	14.093	1314	318	318	14.093	254751	256064
MT0224	9.345	1614	259	259	9.345	256178	257791
MT0225	13.806	1122	266	266	13.806	257897	259018
MT0226	7.925	1014	138	138	7.925	259027	260040
MT0227	10.485	822	148	148	10.485	260037	260858
MT0228	7.668	1329	175	175	7.668	261038	262366
MT0229	4.773	549	45	45	4.773	262368	262916
MT0230	200.695	1212	4177	4177	200.695	262926	264137
MT0231	45.12	1350	1046	1046	45.12	264241	265590
MT0232	44.948	789	609	609	44.948	265621	266409
MT0233	14.916	1464	375	375	14.916	266415	267878
MT0234	14.692	765	193	193	14.692	267977	268741
MT0235	36.705	1155	728	728	36.705	268777	269931
MT0236	21.093	1731	627	627	21.093	269948	271678
MT0237	70.193	1266	1526	1526	70.193	271688	272953
MT0238	28.606	1140	560	560	28.606	273253	274392
MT0239	71.659	681	838	838	71.659	274420	275100
opd	24.853	1038	443	443	24.853	275097	276134
MT0241	16.819	1707	493	493	16.819	276172	277878
MT0242	51.735	690	613	613	51.735	278013	278702
MT0244	37.528	945	609	609	37.528	278699	279643
gabD1	40.357	1404	973	973	40.357	279719	281122
MT0246	20.898	1449	520	520	20.898	281280	282728
MT0247	64.704	4203	4670	4670	64.704	282763	286965
MT0250	66.295	549	556	625	66.295	287012	287560
MT0251	31.188	1167	594	625	31.188	287300	288466
MT0252	96.015	615	1014	1014	96.015	288542	289156
MT0253	304.856	234	1225	1225	304.856	289218	289451
MT0254	35.765	438	269	269	35.765	289459	289896
MT0255	45.869	843	664	664	45.869	289926	290768
fabG (NC_002755 290778..292143)	65.87	1365	1544	1544	65.87	290779	292143
MT0257	156.346	1323	3552	3552	156.346	292285	293607
MT0258	427.11	1836	13466	13466	427.11	293913	295748
MT0259	56.924	489	478	478	56.924	296120	296608
MT0260	20.835	1350	483	483	20.835	296885	298234
MT0261	72.11	747	925	925	72.11	298231	298977
sdhA (NC_002755 298977..300918)	83.555	1941	2785	2785	83.555	298978	300918
MT0263	93.018	822	1313	1313	93.018	300949	301770
MT0264	70.677	234	284	284	70.677	301850	302083
MT0265	247.25	480	2038	2038	247.25	302288	302767
nirB	80.509	2562	3542	3542	80.509	302981	305542
cobU	12.201	525	110	110	12.201	305940	306464
cobQ-1	15.49	1485	395	395	15.49	306489	307973
MT0269	43.667	1671	1253	1253	43.667	307992	309662
MT0270	32.891	108	61	61	32.891	309659	309766
MT0270.1	77.8	375	501	501	77.8	309814	310188
MT0270.2	60.572	249	259	259	60.572	310145	310393
MT0271	13.154	456	103	103	13.154	310409	310864
MT0272	4.931	744	63	63	4.931	310889	311632
MT0273	4.116	1146	81	81	4.116	311629	312774
narK-1	2.643	1410	64	64	2.643	312874	314283
aac	45.968	546	431	431	45.968	314424	314969
MT0276	42.047	903	652	652	42.047	314979	315881
MT0277	31.834	675	369	369	31.834	315898	316572
MT0278	33.251	993	567	567	33.251	316626	317618
MT0279	13.062	3629	814	814	13.062	317640	321268
narK-2	26.649	1392	637	637	26.649	321445	322836
MT0281	60.289	510	528	528	60.289	322878	323387
MT0282	17.691	1185	360	360	17.691	323452	324636
MT0283	132.591	1683	3832	3832	132.591	324681	326363
MT0284	87.854	2196	3313	3313	87.854	326380	328575
MT0285	41.8	1017	730	730	41.8	328689	329705
MT0286	25.975	621	277	277	25.975	329819	330439
MT0286.1	43.395	624	465	465	43.395	330494	331117
MT0287	72.431	726	903	903	72.431	331047	331772
MT0288	106.288	921	1681	1681	106.288	331862	332782
MT0289	79.274	429	584	584	79.274	332822	333250
MT0290	215.866	174	645	645	215.866	333274	333447
MT0291	11.484	2718	533	536	11.484	333551	336268
MT0291.1	32.103	156	86	86	32.103	336255	336410
MT0291.2	4.853	132	11	11	4.853	336394	336525
MT0291.3	7.764	195	25	26	7.764	336656	336850
MT0291.4	22.263	1797	682	687	22.263	337082	338878
MT0292	364.533	1728	10817	10817	364.533	339309	341036
MT0293	235.818	909	3681	3681	235.818	341060	341968
MT0294	820.663	108	1522	1522	820.663	342048	342155
MT0295	1095.817	1842	34662	34662	1095.817	342246	344087
MT0296	982.842	1617	27291	27291	982.842	344084	345700
MT0297	611.125	3993	41904	41904	611.125	345697	349689
MT0298	550.487	309	2921	2921	550.487	349686	349994
MT0299	442.946	1542	11729	11729	442.946	349997	351538
MT0300	680.581	294	3436	3436	680.581	351587	351880
MT0301	1195.091	291	5972	5972	1195.091	351910	352200
MT0302	912.196	888	13910	13910	912.196	352211	353098
MT0303	665.686	1419	16221	16221	665.686	353145	354563
MT0304	652.544	1245	13951	13951	652.544	354701	355945
MT0305	225.743	996	3861	3861	225.743	355942	356937
MT0306	66.899	1203	1382	1382	66.899	356924	358126
tam	9.113	786	123	123	9.113	358233	359018
MT0308	40.633	804	561	561	40.633	359007	359810
MT0310	15.704	1398	377	377	15.704	359820	361217
MT0311	72.442	1869	2325	2325	72.442	361303	363171
MT0312	284.528	228	1114	1114	284.528	363314	363541
MT0313	123.067	150	317	317	123.067	363691	363840
MT0314	105.805	426	774	774	105.805	364106	364531
MT0315	133.487	633	1451	1451	133.487	364667	365299
MT0316	82.001	909	1280	1280	82.001	365296	366204
MT0318	12.504	9561	2053	2053	12.504	366212	375772
bluB	8.492	672	98	98	8.492	375975	376646
MT0320	10.369	483	86	86	10.369	376634	377116
MT0321	44.183	717	544	544	44.183	377174	377890
MT0322	88.724	657	1001	1001	88.724	377992	378648
baiE	13.612	492	115	115	13.612	378718	379209
MT0324	5.918	1230	125	125	5.918	379233	380462
MT0325	0.588	99	1	1	0.588	380503	380601
MT0326	36.416	1863	1165	1165	36.416	380617	382479
MT0327	213.072	387	1416	1416	213.072	382551	382937
MT0328	100.5	186	321	321	100.5	382940	383125
MT0328.1	68.413	246	282	289	68.413	383070	383315
MT0328.2	78.778	411	551	556	78.778	383191	383601
MT0329	67.906	885	1032	1032	67.906	383662	384546
MT0330	32.289	615	341	341	32.289	384595	385209
MT0332	46.476	738	589	589	46.476	385233	385970
MTt04	0.787	74	1	1	0.787	386261	386334
MT0333	7.869	777	105	105	7.869	386365	387141
pcp	20.543	669	236	236	20.543	387208	387876
MT0335	16.425	663	187	187	16.425	387948	388610
dcd	18.7	573	184	184	18.7	388642	389214
ugdA	3.672	1332	84	84	3.672	389320	390651
MT0338	11.265	672	130	130	11.265	390640	391311
MT0339	11.801	681	138	138	11.801	391412	392092
MT0340	10.094	225	39	39	10.094	392099	392323
MT0341	9.45	456	74	74	9.45	392333	392788
MT0342	17.6	1350	408	408	17.6	392756	394105
MT0343	64.608	603	669	669	64.608	394171	394773
MT0344	31.764	627	342	342	31.764	394754	395380
MT0345	16.111	741	205	205	16.111	395407	396147
MT0346	16.417	1167	329	329	16.417	396261	397427
MT0347	26.352	990	448	448	26.352	397639	398628
rfbA	20.016	867	298	298	20.016	398718	399584
MT0349	13.994	516	124	124	13.994	399595	400110
MT0350	11.516	1512	35	299	11.516	400252	401763
aspC	55.886	1290	1238	1238	55.886	401933	403222
MT0352	113.917	2649	5182	5182	113.917	403253	405901
MT0353	26.332	2499	1130	1130	26.332	406010	408508
MT0355	19.088	540	177	177	19.088	408694	409233
MT0356	274.053	1446	6805	6805	274.053	409416	410861
MT0357	62.594	1923	2067	2067	62.594	410898	412820
MT0357.1	43.852	1482	1116	1116	43.852	412817	414298
MT0359	10.277	561	99	99	10.277	414441	415001
MT0360	23.461	417	168	168	23.461	415104	415520
ansP-1	79.276	1464	1993	1993	79.276	415562	417025
MT0362	15.812	987	268	268	15.812	417364	418350
MT0363	19.589	654	220	220	19.589	418353	419006
MT0364	13.298	543	124	124	13.298	419126	419668
dnaK	179.786	1878	5798	5798	179.786	419895	421772
grpE	160.849	618	1707	1707	160.849	421859	422476
dnaJ-1	144.702	1188	2952	2952	144.702	422512	423699
hspR	100.877	381	660	660	100.877	423699	424079
MT0369	47.276	558	453	453	47.276	424306	424863
MT0370	11.88	9828	2005	2005	11.88	424940	434767
MT0372	33.276	630	360	360	33.276	434918	435547
purA	17.842	1299	398	398	17.842	435559	436857
MT0374	4.853	648	54	54	4.853	436948	437595
MT0375	11.392	639	125	125	11.392	437747	438385
MT0376	13.925	414	99	99	13.925	438390	438803
MT0377	82.92	828	1179	1179	82.92	438910	439737
MT0378	22.274	1383	529	529	22.274	439959	441341
fba	93.568	1035	1663	1663	93.568	441353	442387
dedA	49.89	684	586	586	49.89	442483	443166
MT0381	24.715	1131	480	480	24.715	443155	444285
MT0382	20.097	594	205	205	20.097	444310	444903
MT0383	48.867	429	360	360	48.867	444914	445342
MT0384	3.363	1212	70	70	3.363	445402	446613
MT0384.1	6.76	603	70	70	6.76	446619	447221
MT0385	4.415	897	68	68	4.415	447235	448131
MT0386	2.451	594	25	25	2.451	448128	448721
MT0387	3.081	756	40	40	3.081	448718	449473
MT0388	4.319	2400	178	178	4.319	449492	451891
MT0389	2.062	480	17	17	2.062	451888	452367
MT0390	3.934	903	61	61	3.934	452382	453284
MT0391	12.901	966	214	214	12.901	454510	455475
MT0392	17.098	579	170	170	17.098	455648	456226
MT0393	31.965	552	303	303	31.965	456357	456908
MT0394	46.663	765	613	613	46.663	457004	457768
pyrE	101.262	540	939	939	101.262	457930	458469
MT0396	281.497	855	4133	4133	281.497	458550	459404
clpB	43.944	2547	1922	1922	43.944	459545	462091
MT0398	11.938	1278	262	262	11.938	462119	463396
MT0399	16.889	3279	951	951	16.889	463479	466757
MT0400	11.586	1332	265	265	11.586	466761	468092
purT	14.651	1260	317	317	14.651	468426	469685
MT0401.1	43.255	381	283	283	43.255	469724	470104
metZ	32.098	1221	673	673	32.098	470101	471321
ndh-1	13.889	1413	337	337	13.889	471318	472730
MT0404	20.597	1326	469	469	20.597	472872	474197
MT0404.1	28.793	720	356	356	28.793	474213	474932
MT0405	1.869	405	13	13	1.869	475031	475435
MT0406	4.748	417	34	34	4.748	475417	475833
MT0407	7.913	471	64	64	7.913	475874	476344
MT0407.1	42.33	249	181	181	42.33	476485	476733
MT0408	21.588	642	238	238	21.588	476770	477411
MT0409	13.683	1230	289	289	13.683	477418	478647
MT0410	30.559	1191	625	625	30.559	478657	479847
MT0411	7.984	372	51	51	7.984	479880	480251
MT0412	7.752	2877	383	383	7.752	480446	483322
MT0413	4.014	885	0	61	4.014	483432	484316
MT0414	7.301	327	0	41	7.301	484367	484693
MT0415	11.877	456	93	93	11.877	484650	485105
MT0416	3.576	114	7	7	3.576	485313	485426
MT0417	18.749	1758	566	566	18.749	485426	487183
MT0418	26.979	4209	1950	1950	26.979	487180	491388
MT0419	19.565	759	255	255	19.565	491336	492094
fgd	35.136	1011	610	610	35.136	492232	493242
pta	32.755	2073	1166	1166	32.755	493235	495307
ackA	42.845	1158	852	852	42.845	495300	496457
MT0423	100.888	2310	4002	4002	100.888	496511	498820
MT0424	118.178	987	2003	2003	118.178	498763	499749
MT0425	110.026	1320	2494	2494	110.026	499749	501068
MT0426	41.494	654	466	466	41.494	501162	501815
thiE	12.709	669	146	146	12.709	501799	502467
MT0428	21.119	1023	371	371	21.119	502597	503619
MT0429	10.409	207	37	37	10.409	503616	503822
thiG	10.895	759	142	142	10.895	503815	504573
MT0431	2.664	153	7	7	2.664	504595	504747
MT0432	34.5	1482	878	878	34.5	504966	506447
MT0433	59.245	1497	1523	1523	59.245	506535	508031
MT0434	45.198	411	319	319	45.198	508010	508420
MT0435	38.453	630	416	416	38.453	508581	509210
thiD	56.92	798	780	780	56.92	509207	510004
thiC	131.749	1650	3733	3733	131.749	510031	511680
MT0438	94.343	279	452	452	94.343	511826	512104
MT0440	95.871	4620	7606	7606	95.871	512151	516770
MT0441	67.232	576	665	665	67.232	516822	517397
xth	23.267	876	350	350	23.267	517466	518341
MT0443	11.671	948	190	190	11.671	518344	519291
def	32.254	594	329	329	32.254	519252	519845
MT0445	52.217	513	460	460	52.217	519978	520490
AT103	59.881	495	509	509	59.881	520522	521016
sodC	81.994	723	1018	1018	81.994	521049	521771
MT0448	52.673	1152	1042	1042	52.673	521752	522903
MT0449	39.797	657	449	449	39.797	522960	523616
MT0450	15.739	111	30	30	15.739	523622	523732
MT0451	46.305	2187	1739	1739	46.305	523796	525982
pssA	41.509	867	618	618	41.509	525979	526845
MT0453	35.225	696	421	421	35.225	526836	527531
moeA-1	23.619	1218	494	494	23.619	527592	528809
MT0455	16.033	1017	280	280	16.033	528828	529844
groEL (NC_002755 530056..531679)	359.448	1623	10018	10018	359.448	530057	531679
MT0457	79.681	429	587	587	79.681	531745	532173
MT0458	19.65	1464	494	494	19.65	532200	533663
MT0459	82.55	558	791	791	82.55	533803	534360
MT0460	52.985	699	636	636	52.985	534540	535238
MT0461	26.742	564	259	259	26.742	535282	535845
MT0462	26.385	810	367	367	26.385	535894	536703
cfa-1	15.875	1449	392	395	15.875	536673	538121
MT0464	8.91	732	111	112	8.91	537953	538684
MT0465	13.764	1320	312	312	13.764	538678	539997
MT0466	76.863	2904	3833	3833	76.863	540037	542940
MT0467	100.085	423	727	727	100.085	542937	543359
MT0468	13.756	762	180	180	13.756	543540	544301
MT0469	10.36	1557	277	277	10.36	544623	546179
MT0470	36.934	555	352	352	36.934	546185	546739
MT0471	101.468	528	920	920	101.468	546824	547351
MT0472	9.356	915	147	147	9.356	547338	548252
MT0472.1	8.655	471	70	70	8.655	548472	548942
MT0474	22.162	1524	580	580	22.162	551124	552647
MT0475	34.443	492	291	291	34.443	552647	553138
MT0476	83.698	279	401	401	83.698	553159	553437
MT0477	45.293	603	469	469	45.293	553397	553999
lpdA-1	88.749	1395	2126	2126	88.749	554063	555457
MT0479	39.615	294	200	200	39.615	555465	555758
MT0480	59.758	573	588	588	59.758	555762	556334
MT0481	29.096	1425	712	712	29.096	556331	557755
MT0482	76.912	795	1050	1050	76.912	557907	558701
aceA-1	669.891	1287	14805	14805	669.891	558976	560262
MT0484	171.522	861	2536	2536	171.522	560344	561204
MT0485	165.15	878	2490	2490	165.15	561319	562196
cmaC	190.607	864	2828	2828	190.607	562296	563159
MT0487	13.997	441	106	106	13.997	563302	563742
MT0488	38.227	489	321	321	38.227	563673	564161
MT0489	127.646	771	1690	1690	127.646	564171	564941
MT0490	62.173	1227	1310	1310	62.173	565156	566382
MT0491	63.878	423	464	464	63.878	566469	566891
MT0492	83.975	138	199	199	83.975	566930	567067
MT0493	394.095	615	4162	4162	394.095	567230	567844
MT0494	57.092	153	150	150	57.092	567857	568009
MT0495	134.919	546	1265	1265	134.919	568125	568670
deoC	64.704	675	750	750	64.704	568670	569344
MT0497	128.926	1047	2318	2318	128.926	569369	570415
MT0498	23.111	1023	406	406	23.111	570412	571434
MT0499	28.174	525	254	254	28.174	571436	571960
murB	15.162	1110	289	289	15.162	571987	573096
MT0501	275.751	1356	6421	6421	275.751	573158	574513
MT0502	44.6	756	579	579	44.6	574494	575249
MT0503	187.524	1317	4241	4241	187.524	575432	576748
MT0504	162.029	1443	4015	4015	162.029	576796	578238
MT0505	70.155	552	665	665	70.155	578235	578786
MT0506	7.549	108	14	14	7.549	578896	579003
MT0507	5.766	606	60	60	5.766	579054	579659
gpmA	60.175	750	775	775	60.175	579816	580565
senX3	136.115	1233	2882	2882	136.115	580739	581971
regX3	134.282	693	1598	1598	134.282	582167	582859
MT0511	34.948	1443	866	866	34.948	582856	584298
MT0512	10.994	678	128	128	10.994	584234	584911
MT0513	11.059	990	188	188	11.059	585069	586058
MT0514	4.953	729	62	62	4.953	586063	586791
MT0515	59.737	891	914	914	59.737	586792	587682
MT0516	53.789	1035	956	956	53.789	587714	588748
