Gene ID	Gene Name	Value 1	Value 2	log2 (fold change)	Test Statistics	p value	q value
gene105	PA0103a	3.63327	3.18956	-0.18791	0	1	1
gene1050	PA1030	0.880199	1.85488	1.07542	0	1	1
gene1051	PA1030.1	0	0	0	0	1	1
gene1052	PA1031	0.432666	2.6861	2.63419	0	1	1
gene1053	quiP	0.106476	1.01886	3.25836	0	1	1
gene1054	PA1033	0.536606	0.49097	-0.128229	0	1	1
gene1055	PA1034	0	0	0	0	1	1
gene1056	PA1035	3.37423	2.83835	-0.249507	0	1	1
gene1057	PA1036	0.45673	0	-inf	0	1	1
gene1058	PA1037	0	2.25993	inf	0	1	1
gene1059	PA1038	1.11951	1.64968	0.559323	0	1	1
gene106	coxB	0.455555	2.16436	2.24824	0	1	1
gene1060	PA1039	0	0	0	0	1	1
gene1061	PA1040	0	0.451036	inf	0	1	1
gene1062	PA1041	0	0	0	0	1	1
gene1063	PA1042	0	3.85769	inf	0	1	1
gene1064	PA1043	0	0	0	0	1	1
gene1065	PA1044	0	0.837748	inf	0	1	1
gene1066	PA1045	0.632404	1.28324	1.02088	0	1	1
gene1067	PA1046	0.120148	0.289462	1.26857	0	1	1
gene1068	PA1047	0.831972	1.06794	0.360225	0	1	1
gene1069	PA1048	1.11924	0.532887	-1.07061	0	1	1
gene107	coxA	0	0.266153	inf	0	1	1
gene1070	pdxH	0.703151	0.620417	-0.180598	0	1	1
gene1071	PA1050	0	0.25741	inf	0	1	1
gene1072	PA1051	0.280228	0.194109	-0.529733	0	1	1
gene1073	PA1052	0	0	0	0	1	1
gene1074	PA1052a	0	1.66481	inf	0	1	1
gene1075	PA1053	41.8306	93.3374	1.15789	2.02782	0.00105	0.00970846
gene1076	PA1054	0.723482	0.722941	-0.00107836	0	1	1
gene1077	PA1055	6.45297	3.15453	-1.03254	0	1	1
gene1078	PA1056	0.440501	0.222642	-0.984415	0	1	1
gene1079	PA1057	1.21419	2.73626	1.17222	0	1	1
gene108	PA0107	0.463589	0.639363	0.463789	0	1	1
gene1080	PA1058	15.0149	3.47116	-2.11291	-0.841928	0.20955	0.378197
gene1081	PA1059	0.952686	1.3838	0.538567	0	1	1
gene1082	PA1060	0.454341	0	-inf	0	1	1
gene1083	PA1061	0.272617	0.421227	0.627722	0	1	1
gene1084	PA1062	0	0.700345	inf	0	1	1
gene1085	PA1063	0	0	0	0	1	1
gene1086	PA1064	0.677287	0.298951	-1.17986	0	1	1
gene1087	PA1065	0.831511	0.486052	-0.774626	0	1	1
gene1088	PA1066	0	0	0	0	1	1
gene1089	PA1067	0	0	0	0	1	1
gene109	coIII	0.718339	0.983276	0.452932	0	1	1
gene1090	PA1068	0	0.13875	inf	0	1	1
gene1091	PA1069	7.53594	1.91221	-1.97854	-2.60782	0.00025	0.00268304
gene1092	braG	1.15346	0.738723	-0.642867	0	1	1
gene1093	braF	1.58803	1.04332	-0.606054	0	1	1
gene1094	braE	0.475775	0.136615	-1.80017	0	1	1
gene1095	braD	0.911915	1.97458	1.11457	0	1	1
gene1096	braC	8.8924	6.58218	-0.434007	-0.611511	0.2868	0.457206
gene1097	PA1075	0	1.64968	inf	0	1	1
gene1098	PA1076	3.06551	2.03116	-0.593822	0	1	1
gene1099	flgB	7.59959	8.92207	0.231458	0.161002	0.76135	0.844671
gene11	PA0012	4.90902	4.78909	-0.0356821	0	1	1
gene110	PA0109	0	0	0	0	1	1
gene1100	flgC	4.07578	1.63165	-1.32075	0	1	1
gene1101	flgD	0.331418	2.41524	2.86544	0	1	1
gene1102	flgE	2.1517	0.509439	-2.07849	0	1	1
gene1103	flgF	7.87447	2.58738	-1.60569	-1.25092	0.03385	0.116251
gene1104	flgG	2.62948	1.7845	-0.559257	0	1	1
gene1105	flgH	26.7961	23.071	-0.215942	-0.363092	0.52475	0.658402
gene1106	flgI	0	0.157572	inf	0	1	1
gene1107	flgJ	2.05714	2.15491	0.066987	0	1	1
gene1108	flgK	2.78464	2.59504	-0.101732	0	1	1
gene1109	flgL	4.03797	3.60211	-0.164788	0	1	1
gene111	PA0110	0	0.370215	inf	0	1	1
gene1110	PA1088	4.59523	2.84505	-0.691684	0	1	1
gene1111	PA1089	1.99748	1.63804	-0.28621	0	1	1
gene1112	PA1090	0.681466	0.797866	0.227504	0	1	1
gene1113	fgtA	0.626187	0.763389	0.285826	0	1	1
gene1114	fliC	17.7852	14.9347	-0.252007	-0.465239	0.42055	0.570543
gene1115	PA1093	0	0.72054	inf	0	1	1
gene1116	fliD	13.5333	6.6493	-1.02524	-1.65814	0.0066	0.0357351
gene1117	PA1095	129.204	7.21324	-4.16286	-3.14279	0.00265	0.0191886
gene1118	PA1096	1.89919	6.92606	1.86665	0.67132	0.28565	0.456584
gene1119	fleQ	4.1866	10.8754	1.37722	2.0293	0.00275	0.0196756
gene112	PA0111	0	0	0	0	1	1
gene1120	fleS	0.564411	0.894411	0.664192	0	1	1
gene1121	fleR	2.53753	1.96997	-0.365247	0	1	1
gene1122	fliE	2.10389	0	-inf	0	1	1
gene1123	fliF	0.725917	0.7223	-0.00720539	0	1	1
gene1124	fliG	1.24128	1.18232	-0.0702065	0	1	1
gene1125	PA1103	0.794822	0.232677	-1.7723	0	1	1
gene1126	fliI	0.869709	0.797653	-0.124772	0	1	1
gene1127	fliJ	0	1.07615	inf	0	1	1
gene1128	PA1106	0.616762	1.42046	1.20357	0	1	1
gene1129	PA1107	0.423757	0.738068	0.800517	0	1	1
gene113	PA0112	0.369255	1.12052	1.60148	0	1	1
gene1130	PA1108	0	0.299813	inf	0	1	1
gene1131	PA1109	0	0.242998	inf	0	1	1
gene1132	PA1110	0	0.452232	inf	0	1	1
gene1133	PA1111	0	0.326584	inf	0	1	1
gene1134	PA1112	0.258397	1.0222	1.98401	0	1	1
gene1135	PA1112a	7.09164	18.356	1.37206	0.921799	0.433	0.578296
gene1136	PA1112.1	5.18896	18.5689	1.83937	1.14046	0.27385	0.441244
gene1137	PA1112b	9.72461	3.31536	-1.55248	0	1	1
gene1138	PA1113	0.481261	1.28263	1.41422	0	1	1
gene1139	PA1114	0	0	0	0	1	1
gene114	PA0113	0.339699	0.620628	0.869472	0	1	1
gene1140	PA1115	0.51083	0.618518	0.275973	0	1	1
gene1141	PA1116	1.02585	1.02745	0.00224922	0	1	1
gene1142	PA1117	0	0	0	0	1	1
gene1143	PA1118	0.70058	0.450661	-0.636506	0	1	1
gene1144	yfiB	1.27762	0.688116	-0.892732	0	1	1
gene1145	tpbB	0.320669	0.405667	0.33921	0	1	1
gene1146	yfiR	2.3002	0	-inf	0	1	1
gene1148	PA1123	2.20075	0	-inf	0	1	1
gene1149	dgt	0.250933	0.794036	1.6619	0	1	1
gene115	senC	8.39964	5.60508	-0.583591	-0.569993	0.33655	0.490938
gene1150	PA1125	0.434303	1.30263	1.58466	0	1	1
gene1151	PA1126	0	0	0	0	1	1
gene1152	PA1127	0.530147	0.592985	0.161603	0	1	1
gene1153	PA1128	0	0.656162	inf	0	1	1
gene1154	PA1129	0	0	0	0	1	1
gene1155	rhlC	0	0.586969	inf	0	1	1
gene1156	PA1131	0	0	0	0	1	1
gene1157	PA1132	1.98391	0.755974	-1.39194	0	1	1
gene1158	PA1133	0.938603	0	-inf	0	1	1
gene1159	PA1134	0	0	0	0	1	1
gene116	PA0115	0.892358	1.34004	0.586584	0	1	1
gene1160	PA1135	0.871925	1.90011	1.12381	0	1	1
gene1161	PA1136	0.771608	0.263799	-1.54843	0	1	1
gene1162	PA1137	1.64777	0.181332	-3.18381	0	1	1
gene1163	PA1138	0	0	0	0	1	1
gene1164	PA1139	0.372782	0	-inf	0	1	1
gene1165	PA1140	0.379502	1.72567	2.18498	0	1	1
gene1166	PA1141	0	0	0	0	1	1
gene1167	PA1142	0	0.447183	inf	0	1	1
gene1168	PA1143	0	0.506506	inf	0	1	1
gene1169	PA1144	0	0.396238	inf	0	1	1
gene117	PA0116	0	0	0	0	1	1
gene1170	PA1145	0.456218	2.04837	2.16668	0	1	1
gene1171	PA1146	0	0	0	0	1	1
gene1172	PA1147	0	0.11208	inf	0	1	1
gene1173	toxA	0	0	0	0	1	1
gene1174	PA1149	0	0	0	0	1	1
gene1175	pys2	96.6484	53.9177	-0.841987	-1.70527	0.0024	0.0178074
gene1176	imm2	134.36	56.4069	-1.25216	-1.83929	0.0038	0.0247286
gene1177	PA1153	0	1.37209	inf	0	1	1
gene1178	PA1154	0	1.31401	inf	0	1	1
gene1179	nrdB	63.8121	34.8794	-0.871454	-1.77239	0.0023	0.0172787
gene118	PA0117	0	0.851603	inf	0	1	1
gene1180	nrdA	11.3256	7.84312	-0.530093	-1.02148	0.07455	0.197377
gene1181	PA1157	0	0.428047	inf	0	1	1
gene1182	PA1158	0.280228	0.443183	0.661303	0	1	1
gene1183	PA1159	6.38411	2.30638	-1.46885	0	1	1
gene1184	PA1160	0.806721	2.8362	1.81382	0	1	1
gene1185	rrmA	0	0	0	0	1	1
gene1186	dapE	0	0.397906	inf	0	1	1
gene1187	ndvB	0.0752211	0.348395	2.21152	0	1	1
gene1188	PA1164	0	0	0	0	1	1
gene1189	pcpS	0.452991	0.265217	-0.772308	0	1	1
gene119	PA0118	0.4282	0.554656	0.373308	0	1	1
gene1190	PA1166	0	0.373823	inf	0	1	1
gene1191	PA1167	0.358451	0.590754	0.720782	0	1	1
gene1192	PA1168	0	0	0	0	1	1
gene1193	PA1169	0.352193	0.656807	0.899103	0	1	1
gene1194	PA1170	0.448171	1.19695	1.41724	0	1	1
gene1195	PA1171	0	0.830013	inf	0	1	1
gene1196	napC	0	2.19236	inf	0	1	1
gene1197	napB	0.785497	0	-inf	0	1	1
gene1198	napA	0.53858	1.06112	0.97836	0	1	1
gene1199	napD	0	0	0	0	1	1
gene12	PA0013	0.694315	2.88959	2.0572	0	1	1
gene120	PA0119	0.154688	0.982602	2.66724	0	1	1
gene1200	napF	0	0	0	0	1	1
gene1201	napE	0	12.179	inf	0	1	1
gene1202	oprH	40.6783	99.4149	1.2892	2.48325	5e-05	0.000698837
gene1203	phoP	2.52935	5.76974	1.18974	0	1	1
gene1204	phoQ	2.26934	5.7216	1.33415	0	1	1
gene1205	PA1181	0.158307	0.480596	1.6021	0	1	1
gene1206	PA1182	0	0.277734	inf	0	1	1
gene1207	dctA	2.76511	1.72772	-0.678469	0	1	1
gene1208	PA1184	0	0.658461	inf	0	1	1
gene1209	PA1185	0	0	0	0	1	1
gene121	PA0120	0	0.2868	inf	0	1	1
gene1210	PA1186	0	0	0	0	1	1
gene1211	PA1187	0.521595	1.29398	1.31082	0	1	1
gene1212	PA1188	0	0	0	0	1	1
gene1213	PA1189	0	0	0	0	1	1
gene1214	PA1190	0	0.539124	inf	0	1	1
gene1215	PA1191	1.63864	4.61314	1.49325	0	1	1
gene1216	PA1192	1.68504	3.86813	1.19885	0	1	1
gene1217	PA1193	0	1.643	inf	0	1	1
gene1218	PA1194	0.146229	0.184759	0.337419	0	1	1
gene1219	PA1195	1.12655	0.908781	-0.309908	0	1	1
gene122	PA0121	0	1.89203	inf	0	1	1
gene1220	PA1196	0	0.754249	inf	0	1	1
gene1221	PA1197	6.16145	4.15226	-0.569372	0	1	1
gene1222	PA1198	5.95066	7.3124	0.297296	0.269382	0.6904	0.797104
gene1223	PA1199	1.88021	2.08805	0.151262	0	1	1
gene1224	PA1200	0.729646	0	-inf	0	1	1
gene1225	PA1201	0	0.198888	inf	0	1	1
gene1226	PA1202	0	0	0	0	1	1
gene1227	PA1203	3.57593	0	-inf	0	1	1
gene1228	PA1204	0	0	0	0	1	1
gene1229	PA1205	0.325266	0	-inf	0	1	1
gene123	PA0122	22.2507	7.04145	-1.65991	-1.25789	0.05605	0.161952
gene1230	PA1206	0	0.762531	inf	0	1	1
gene1231	kefB	0.308453	1.19485	1.9537	0	1	1
gene1232	PA1208	0.440501	0.111321	-1.98442	0	1	1
gene1233	PA1209	0	0.30177	inf	0	1	1
gene1234	PA1210	0.340594	0.462677	0.441953	0	1	1
gene1235	PA1211	0	0	0	0	1	1
gene1236	PA1212	0	0	0	0	1	1
gene1237	PA1213	0.320317	0	-inf	0	1	1
gene1238	PA1214	0	0.161432	inf	0	1	1
gene1239	PA1215	0	0.349527	inf	0	1	1
gene124	PA0123	0.342462	0	-inf	0	1	1
gene1240	PA1216	0.312873	0	-inf	0	1	1
gene1241	PA1217	0	0.394809	inf	0	1	1
gene1242	PA1218	0.969604	2.86258	1.56185	0	1	1
gene1243	PA1219	0	0	0	0	1	1
gene1244	PA1220	0.16686	0	-inf	0	1	1
gene1245	PA1221	0.197164	0	-inf	0	1	1
gene1246	PA1222	0	0.383639	inf	0	1	1
gene1247	PA1223	0	0.204667	inf	0	1	1
gene1248	PA1224	0	1.48773	inf	0	1	1
gene1249	PA1225	0.785472	2.23	1.50541	0	1	1
gene125	PA0124	0	5.28334	inf	0	1	1
gene1250	PA1226	0	0	0	0	1	1
gene1251	PA1227	0	0.436514	inf	0	1	1
gene1252	PA1228	0	0	0	0	1	1
gene1253	PA1229	0	0	0	0	1	1
gene1254	PA1230	0	0	0	0	1	1
gene1255	PA1231	0	0	0	0	1	1
gene1256	PA1232	0.0979951	0.381549	1.96109	0	1	1
gene1257	PA1233	0	2.59207	inf	0	1	1
gene1258	PA1234	0	0	0	0	1	1
gene1259	PA1235	0	0	0	0	1	1
gene126	PA0125	0	8.29119	inf	0	1	1
gene1260	PA1236	0	0.532542	inf	0	1	1
gene1261	PA1237	0	0.247083	inf	0	1	1
gene1262	PA1238	0	0.115765	inf	0	1	1
gene1263	PA1239	0	0	0	0	1	1
gene1264	PA1240	0	0	0	0	1	1
gene1265	PA1241	0.45673	1.3874	1.60298	0	1	1
gene1266	PA1242	0	0.0923472	inf	0	1	1
gene1267	PA1243	0.395526	0.341685	-0.211106	0	1	1
gene1268	PA1244	9.23232	10.5326	0.1901	0.116561	0.85015	0.904319
gene1269	PA1245	0	0	0	0	1	1
gene127	PA0126	0.745833	0.328752	-1.18185	0	1	1
gene1270	aprD	0	0	0	0	1	1
gene1271	aprE	0.224026	0	-inf	0	1	1
gene1272	aprF	0.198191	0.348111	0.812655	0	1	1
gene1273	aprA	1.23585	0.730981	-0.757601	0	1	1
gene1274	aprI	0	0.647906	inf	0	1	1
gene1275	PA1251	0	0.426205	inf	0	1	1
gene1276	PA1252	0	0.177417	inf	0	1	1
gene1277	PA1253	0	0.268421	inf	0	1	1
gene1278	PA1254	0	0.309064	inf	0	1	1
gene1279	PA1255	0	0	0	0	1	1
gene128	PA0127	0	0.745486	inf	0	1	1
gene1280	PA1256	0	0.268101	inf	0	1	1
gene1281	PA1257	0.378269	0.487855	0.36704	0	1	1
gene1282	PA1258	0	0	0	0	1	1
gene1283	PA1259	0	0	0	0	1	1
gene1284	PA1260	0	0.454627	inf	0	1	1
gene1285	PA1261	0	0.752358	inf	0	1	1
gene1286	PA1262	0	0	0	0	1	1
gene1287	PA1263	0.560752	2.06478	1.88055	0	1	1
gene1288	PA1264	0.259969	0.544397	1.06632	0	1	1
gene1289	PA1265	0	0	0	0	1	1
gene129	PA0128	35.1882	35.0111	-0.0072788	-0.00934514	0.9511	0.964438
gene1290	PA1266	0	0	0	0	1	1
gene1291	PA1267	0.267423	0.244147	-0.131375	0	1	1
gene1292	PA1268	0.326527	0.191176	-0.772304	0	1	1
gene1293	PA1269	0	0.46428	inf	0	1	1
gene1294	PA1270	0.448183	0.246587	-0.861994	0	1	1
gene1295	PA1271	0.560144	0.731399	0.38486	0	1	1
gene1296	cobO	0	1.11106	inf	0	1	1
gene1297	cobB	0	0	0	0	1	1
gene1298	PA1274	0	0.475778	inf	0	1	1
gene1299	cobD	0	0	0	0	1	1
gene13	PA0014	0	0	0	0	1	1
gene130	gabP	0.725965	0.92142	0.343959	0	1	1
gene1300	cobC	0	0.473666	inf	0	1	1
gene1301	cobQ	0.395806	0.539912	0.44793	0	1	1
gene1302	cobP	0	0	0	0	1	1
gene1303	cobU	0.376816	0	-inf	0	1	1
gene1304	PA1280	0	0	0	0	1	1
gene1305	cobV	0	0	0	0	1	1
gene1306	PA1282	0	0.110821	inf	0	1	1
gene1307	PA1283	0	0	0	0	1	1
gene1308	PA1284	0.15314	0.146359	-0.0653338	0	1	1
gene1309	PA1285	0	0	0	0	1	1
gene131	PA0130	4.66876	6.15154	0.397908	0	1	1
gene1310	PA1286	0	0	0	0	1	1
gene1311	PA1287	2.19087	0.987211	-1.15008	0	1	1
gene1312	PA1288	9.35063	6.26644	-0.577418	-0.863642	0.1353	0.298953
gene1313	PA1289	0	0	0	0	1	1
gene1314	PA1290	0.422335	0	-inf	0	1	1
gene1315	PA1291	0	0	0	0	1	1
gene1316	PA1292	0.26444	0.909751	1.78253	0	1	1
gene1317	PA1293	0	0.166063	inf	0	1	1
gene1318	rnd	0.190656	0.651072	1.77185	0	1	1
gene1319	PA1295	8.51057	1.93835	-2.13442	-0.851272	0.3121	0.479724
gene132	PA0131	0	2.32302	inf	0	1	1
gene1320	PA1296	0.475697	0.832053	0.806631	0	1	1
gene1321	PA1297	0	0.284956	inf	0	1	1
gene1322	PA1298	0	0	0	0	1	1
gene1323	PA1299	0	0	0	0	1	1
gene1324	PA1300	0	0	0	0	1	1
gene1325	PA1301	0.410432	0	-inf	0	1	1
gene1326	PA1302	0.529699	1.29403	1.28862	0	1	1
gene1327	PA1303	0	0	0	0	1	1
gene1328	PA1304	0	0.457753	inf	0	1	1
gene1329	PA1305	0	0.486052	inf	0	1	1
gene133	PA0132	1.81252	3.23843	0.837296	0	1	1
gene1330	PA1306	0	1.35208	inf	0	1	1
gene1331	PA1307	2.63831	0	-inf	0	1	1
gene1332	PA1308	0	0	0	0	1	1
gene1333	PA1309	0.484228	0.21446	-1.17498	0	1	1
gene1334	phnW	0.267423	0.244147	-0.131375	0	1	1
gene1335	phnX	0	0.225236	inf	0	1	1
gene1336	PA1312	0	0.199693	inf	0	1	1
gene1337	PA1313	0	0	0	0	1	1
gene1338	PA1314	0	0	0	0	1	1
gene1339	PA1315	0	1.04177	inf	0	1	1
gene134	PA0133	0.446984	0.634478	0.505346	0	1	1
gene1340	PA1316	0	0.21582	inf	0	1	1
gene1341	cyoA	0.219982	1.78661	3.02177	0	1	1
gene1342	cyoB	2.30401	6.90831	1.58419	0	1	1
gene1343	cyoC	0	0	0	0	1	1
gene1344	cyoD	1.01334	0	-inf	0	1	1
gene1345	cyoE	0	0	0	0	1	1
gene1346	PA1322	0.214955	0.145892	-0.559138	0	1	1
gene1347	PA1323	0	0.878318	inf	0	1	1
gene1348	PA1324	0	2.25821	inf	0	1	1
gene1349	PA1324.1	0	0	0	0	1	1
gene135	PA0134	0	0.123291	inf	0	1	1
gene1350	PA1325	0	0	0	0	1	1
gene1351	ilvA2	0	0	0	0	1	1
gene1352	PA1327	0	0.210213	inf	0	1	1
gene1353	PA1328	0	0.200505	inf	0	1	1
gene1354	PA1329	0	0	0	0	1	1
gene1355	PA1330	0.71133	0.379369	-0.906918	0	1	1
gene1356	PA1331	0	0.283005	inf	0	1	1
gene1357	PA1332	0	0	0	0	1	1
gene1358	PA1333	0	0	0	0	1	1
gene1359	PA1334	0	0.414479	inf	0	1	1
gene136	PA0135	0	0	0	0	1	1
gene1360	PA1335	0.228277	0.133652	-0.772307	0	1	1
gene1361	PA1336	0.403514	0.614467	0.606718	0	1	1
gene1362	ansB	3.60974	0.322355	-3.48517	0	1	1
gene1363	ggt	0.557506	0.876002	0.651947	0	1	1
gene1364	PA1339	1.4899	0.934554	-0.672861	0	1	1
gene1365	PA1340	0	1.25245	inf	0	1	1
gene1366	PA1341	0	0.401192	inf	0	1	1
gene1367	PA1342	39.4284	23.0722	-0.773076	-1.46345	0.0119	0.0531996
gene1368	PA1343	0	0	0	0	1	1
gene1369	PA1344	0	0.370215	inf	0	1	1
gene137	PA0136	0	0.345076	inf	0	1	1
gene1370	PA1345	0	0	0	0	1	1
gene1371	PA1346	0	0.10744	inf	0	1	1
gene1372	PA1347	0.828641	2.13061	1.36245	0	1	1
gene1373	PA1348	0	0.275589	inf	0	1	1
gene1374	PA1349	0	0.798035	inf	0	1	1
gene1375	PA1350	0.436554	0	-inf	0	1	1
gene1376	PA1351	0	0.230044	inf	0	1	1
gene1377	PA1352	0	0.363709	inf	0	1	1
gene1378	PA1353	3.17616	2.564	-0.308886	0	1	1
gene1379	PA1354	0	0.574813	inf	0	1	1
gene138	PA0137	0	0.159612	inf	0	1	1
gene1380	PA1355	0	0	0	0	1	1
gene1381	PA1356	0	0	0	0	1	1
gene1382	PA1357	1.67662	0	-inf	0	1	1
gene1383	PA1358	0	0	0	0	1	1
gene1384	PA1359	0	0.304477	inf	0	1	1
gene1385	PA1360	0.962825	1.13802	0.241185	0	1	1
gene1386	PA1361	0.263509	0.365121	0.470526	0	1	1
gene1387	PA1362	19.5169	5.83337	-1.74232	-0.927092	0.0874	0.2268
gene1388	PA1363	0.90333	0.810866	-0.15579	0	1	1
gene1389	PA1364	0	0	0	0	1	1
gene139	PA0138	0.441621	1.12797	1.35285	0	1	1
gene1390	PA1365	0	0.17132	inf	0	1	1
gene1391	PA1366	0.601274	2.07613	1.7878	0	1	1
gene1392	PA1367	0	0.346786	inf	0	1	1
gene1393	PA1368	0.291073	1.10751	1.92786	0	1	1
gene1394	PA1369	104.664	30.1285	-1.79656	-3.47606	5e-05	0.000698837
gene1395	PA1370	6.19827	4.2755	-0.535771	0	1	1
gene1396	PA1371	92.4541	88.2559	-0.0670443	-0.0560169	0.92325	0.955756
gene1397	PA1372	104.431	82.3089	-0.343426	-0.590349	0.2985	0.468403
gene1398	fabF2	0	0.355287	inf	0	1	1
gene1399	PA1374	0	0.439142	inf	0	1	1
gene14	PA0015	2.26714	0	-inf	0	1	1
gene140	ahpC	52.7541	29.3776	-0.844564	-1.48526	0.01305	0.0572485
gene1400	pdxB	0	0	0	0	1	1
gene1401	aceK	1.56791	1.22477	-0.356332	0	1	1
gene1402	PA1377	2.11147	2.62802	0.315724	0	1	1
gene1403	PA1378	0	0	0	0	1	1
gene1404	PA1379	0	0.5904	inf	0	1	1
gene1405	PA1380	0	0.677792	inf	0	1	1
gene1406	PA1381	0	1.68528	inf	0	1	1
gene1407	PA1382	1.19111	2.70888	1.18538	0	1	1
gene1408	PA1383	0.512426	1.38241	1.43177	0	1	1
gene1409	galE	0.299792	2.35258	2.97221	0	1	1
gene141	ahpF	1.10115	3.71029	1.75252	0	1	1
gene1410	PA1385	0.540048	2.74025	2.34315	0	1	1
gene1411	PA1386	0.8012	1.90607	1.25037	0	1	1
gene1412	PA1387	0.314127	1.13707	1.85591	0	1	1
gene1413	PA1388	2.25301	2.32666	0.046409	0	1	1
gene1414	PA1389	0.331267	0.225185	-0.556887	0	1	1
gene1415	PA1390	0.210207	1.60974	2.93695	0	1	1
gene1416	PA1391	0.207151	0.799507	1.94843	0	1	1
gene1417	PA1392	0.479759	0.814286	0.763226	0	1	1
gene1418	cysC	0	2.07031	inf	0	1	1
gene1419	PA1394	0	0	0	0	1	1
gene142	PA0141	14.0413	7.31275	-0.941186	-1.30332	0.03085	0.108426
gene1420	PA1395	0	1.00194	inf	0	1	1
gene1421	PA1396	0.229069	0.585848	1.35475	0	1	1
gene1422	PA1397	0.547035	0.529898	-0.0459196	0	1	1
gene1423	PA1398	0	0	0	0	1	1
gene1424	PA1399	0	0.394592	inf	0	1	1
gene1425	PA1400	0.0810584	0.319978	1.98094	0	1	1
gene1426	PA1401	0	2.62744	inf	0	1	1
gene1427	PA1402	0	0.896854	inf	0	1	1
gene1428	PA1403	0	0	0	0	1	1
gene1429	PA1404	0	3.48937	inf	0	1	1
gene143	PA0142	0	0.125488	inf	0	1	1
gene1430	PA1405	0	0.324228	inf	0	1	1
gene1431	PA1406	0	0.503362	inf	0	1	1
gene1432	PA1407	0	0.19192	inf	0	1	1
gene1433	PA1408	0.147414	0.233577	0.664025	0	1	1
gene1434	aphA	0.290484	0.265251	-0.131105	0	1	1
gene1435	PA1410	0.910779	0.50105	-0.862147	0	1	1
gene1436	PA1411	0	0.199693	inf	0	1	1
gene1437	PA1412	0	0	0	0	1	1
gene1438	PA1413	0	0.657884	inf	0	1	1
gene1439	PA1414	8.59171	47.2851	2.46037	2.24087	0.00385	0.0247286
gene144	nuh	0.584088	0	-inf	0	1	1
