Feature ID	Gene length	UK	G1	BC8	C45	C19	G45							
atpD	1383	9577	12336	19802	35185	20139	19457							
atpE	240	5100	5319	7823	11261	7195	8790							
atpF	471	6351	8133	12732	18689	11905	12970							
atpG	864	5065	7955	13476	21294	11003	10632							
atpH	534	4741	6659	10870	16906	10169	11027							
atpI	381	4171	4315	4146	7475	4492	4280							
avrA	909	2405	1800	3176	360	1433	2324							
avtA	1251	434	487	580	1086	507	636							
b2145	246	324	191	292	101	275	477							
bacA	825	643	673	705	3191	1506	677							
baeR	723	584	686	729	725	711	640							
baeS	1404	655	761	974	781	702	822							
barA	2757	2615	2395	3904	5306	5504	4096							
basR	669	1408	1466	1406	2415	1511	1721							
basS	1071	1212	1396	1285	2524	1917	1059							
bax	825	2434	3034	4644	2340	7890	6296							
bcfA	543	168	218	248	54	30	62							
bcfB	687	85	80	63	43	63	68							
bcfC	2622	398	332	374	230	291	330							
bcfD	1008	339	270	212	222	261	290							
bcfF	546	117	112	124	161	54	120							
bcfG	519	73	86	77	47	145	156							
bcfH (NC_011294 30243..30975)	732	92	83	88	66	75	86							
bcfH (NC_011294 31038..31884)	846	106	114	151	165	110	168							
bcp	471	3347	2669	4012	5274	5215	5829							
bcr	1191	1310	1374	1120	924	818	544							
bcsA	2625	2051	2324	1428	510	521	797							
bcsB	2301	2109	2241	1549	755	718	1045							
bcsC	3432	1154	1811	909	461	439	690							
bcsE	1572	4846	3421	2441	517	629	1701							
bcsF	192	287	198	195	40	35	80							
bcsG	1680	1220	1283	1057	305	320	695							
bcsZ	1110	681	1116	549	225	221	424							
bfd	195	337	263	266	394	437	440							
bfr	477	54765	27119	14363	2272	5588	2351							
bglA	1434	1772	1481	2322	5597	3325	2745							
bglJ	675	128	110	114	56	127	94							
bglX	2298	1005	1034	1877	2337	1827	1345							
bigA	5781	486	496	522	444	409	483							
bioA	1290	85	76	38	100	27	18							
bioB	1041	34	28	41	291	29	20							
bioC	756	20	16	11	34	6	0							
bioD	687	12	17	28	46	24	15							
bioF	1158	17	25	11	87	8	13							
bioH	771	259	276	385	479	394	321							
birA	963	2579	2332	3850	5278	5468	4496							
bisC	2334	640	907	748	1273	1289	840							
blc	534	2226	1531	870	830	934	400							
bolA	318	11544	6304	1460	631	1066	719							
brnQ	1320	979	1151	1853	1483	1133	918							
bssR	384	14318	8269	4366	3061	8004	10924							
bssS	258	2085	2055	1533	3850	2480	2789							
btuB	1845	3553	3066	6271	13185	11823	6492							
btuC	981	166	231	236	478	353	189							
btuD	750	636	627	428	351	445	364							
btuE	552	1333	1372	938	790	770	667							
btuF	801	271	254	290	477	414	263							
btuR	591	374	432	706	965	1096	767							
cadA	2145	4915	11170	44356	16109	43559	61316							
cadB	1332	4159	11754	44329	15173	18811	31702							
cadC	1545	3983	3134	4265	2870	4653	4800							
cafA	1470	3046	4205	4158	11880	5876	3308							
caiA	1143	867	922	900	803	1377	2158							
caiB	1218	407	553	621	487	736	1020							
caiC	1554	1087	981	1003	824	816	1599							
caiD	786	244	241	327	298	269	454							
caiE	597	582	557	1903	806	1714	1474							
caiF	396	9449	5515	17331	7856	16085	17275							
caiT	1518	78	39	92	53	202	431							
carA	1149	237	164	575	3672	1450	426							
carB	3228	316	320	416	3781	1104	472							
cbiA	1380	3627	4077	7770	3564	8769	10054							
cbiB	960	761	983	1510	1119	1931	2597							
cbiC	633	896	1305	2222	1699	2846	5061							
cbiD	1140	1838	3148	5447	3730	6221	12666							
cbiE	606	478	622	1074	745	1093	2449							
cbiF	774	1790	1866	3462	1886	4124	8415							
cbiG	1056	3497	3916	7154	4285	8939	19471							
cbiH	726	2687	2856	4524	2722	4813	13720							
cbiJ	792	947	1301	1887	1332	2738	6382							
cbiK	795	1829	2071	3026	1958	3976	9930							
cbiL	714	935	1006	1223	926	1493	4556							
cbiM	738	2975	3049	3912	2742	4524	14332							
cbiN	282	2273	1990	2391	1713	2618	8606							
cbiO	816	1670	1950	2252	1778	4113	7586							
cbiP	1521	1885	2447	2563	2357	4070	7502							
cbiT	579	776	970	1986	1351	2577	4670							
cboQ	678	2124	2266	2866	2348	4371	10342							
cbpA	921	6814	6146	5836	3648	3827	5241							
cca	1242	1548	1598	1875	5751	5228	2321							
ccmA	618	77	74	83	64	90	60							
ccmB	660	16	24	19	523	8	42							
ccmD	213	1	14	9	154	6	15							
ccmE	480	26	29	19	339	14	22							
ccmF	1932	68	82	102	1276	66	108							
ccmG	558	27	31	36	427	50	56							
ccmH	1044	42	51	16	938	95	54							
cdaR	1158	2114	2077	2394	7031	5768	8179							
cdd	885	322	346	350	1542	633	384							
cdsA	858	2484	2769	3915	8230	4010	3449							
cedA	243	758	601	706	444	499	601							
celA	321	4266	3161	3798	11913	5230	3886							
celB	1359	3854	3112	3010	10530	3970	3792							
celC	348	1889	1394	1521	6781	3486	1604							
celD	765	2593	1599	1764	8973	4235	1718							
celF	1356	1039	840	834	14090	2551	592							
cfa	1149	19265	12143	13066	2988	5311	7568							
chaA	1101	429	529	603	5998	654	554							
chaB	231	695	995	599	101	126	135							
cheA	2016	28437	37395	41538	509	359	205							
cheB	1050	7952	10241	12033	73	50	45							
cheR	867	11028	14429	15404	83	83	63							
cheW	504	12339	11837	12475	218	134	144							
cheY	390	5478	7833	11423	104	169	141							
cheZ	645	5797	8421	12407	215	235	251							
cigR	480	3347	1970	2749	930	611	2150							
cirA	1992	283	233	262	227	274	220							
citA	1305	478	424	321	804	1104	329							
citB	1140	75	77	41	31	54	37							
citC	1077	843	797	144	70	341	911							
citC2	1044	1522	1233	458	1409	2180	862							
citD	297	51	116	13	3	47	163							
citD2	294	280	225	44	409	557	103							
citE	909	102	271	45	40	79	440							
citE2	870	1021	1037	200	1652	2257	569							
citF	1530	213	420	43	49	152	985							
citF2	1521	2073	2110	468	2989	4594	1093							
citG	897	175	203	70	7	37	215							
citG2	909	755	773	234	973	1242	455							
citT	1464	680	918	577	512	576	2089							
citX	552	86	91	12	11	22	142							
citX2	552	293	366	49	447	648	169							
clpA	2277	18604	21763	20980	17138	11432	23016							
clpB	2574	68510	45271	30126	79868	12228	30574							
clpP	624	9252	7530	6208	15986	5157	6362							
clpS	321	2533	2869	2844	2111	1732	2803							
clpX	1272	20734	21383	19952	30122	17911	15368							
cls	1461	1016	1067	1243	678	578	986							
cmk	684	1888	2440	2583	3908	4055	2321							
coaA	951	1135	812	1308	1955	2531	2084							
coaD	480	458	384	570	1251	630	736							
coaE	621	592	545	843	743	1101	777							
cobC	609	437	299	374	256	385	368							
cobD	1095	813	673	860	890	1564	564							
cobS	744	645	941	916	1058	1585	2801							
cobT	1071	652	923	685	948	1010	1997							
cobU	546	536	848	851	901	1419	2419							
codB	1254	728	654	556	1045	718	640							
cof	819	828	1774	1315	2328	1479	1523							
copA	2502	1178	1240	1271	1581	2060	1872							
copR	747	562	730	982	988	724	986							
copS	1365	915	865	1204	1037	742	1164							
corA	951	1394	1124	818	1106	790	830							
corE	792	1080	1353	2070	2208	1629	1170							
cpdB	1944	4920	3914	5803	6593	8829	6585							
cpsG	1371	12	13	9	4	5	1							
cpxA	1374	983	1049	1268	3495	2039	975							
cpxP	501	11731	8855	10800	25068	25317	8057							
cpxR	699	1112	914	1107	4762	2454	1236							
crcB	384	920	948	973	1042	913	1274							
creA	474	2133	1098	1728	4669	1956	2105							
creB	690	466	329	525	1306	606	598							
creC	1425	210	224	275	602	303	277							
creD	1350	682	677	554	349	327	349							
crl	402	2542	1645	2468	1566	1977	2361							
crp	633	14855	12044	14583	12951	16865	22488							
crr	510	43418	31070	29398	34946	40845	25054							
csdA	1206	654	948	760	933	803	579							
csgA	456	169	157	225	14	66	161							
csgB	456	61	28	34	9	11	21							
csgC	327	183	110	189	17	17	36							
csgD	651	120	74	125	26	43	133							
csgE	396	22	18	18	1	11	14							
csgF	417	17	21	14	11	13	27							
csgG	747	193	210	181	122	72	166							
csiE	1278	6130	4090	1727	1191	1411	1804							
cspA	213	118889	184349	230424	403880	356085	453037							
cspB	213	2830	4981	3392	6801	4815	14792							
cspC	210	96845	85069	174790	143197	232132	136016							
cspD	222	12177	7487	7466	3681	6015	8000							
cspE	213	135354	143032	196637	222923	182515	248907							
csrA	186	19428	15989	7218	6895	5328	4516							
cstA	2106	7153	8369	3463	1539	1121	3939							
cueO	1611	765	797	793	1704	1118	896							
cueR	417	1072	1203	1933	1145	1830	1756							
cutA	348	270	388	436	349	542	683							
cutC	747	1699	3090	3616	7861	6269	3580							
cvpA	489	1346	1665	3215	4352	2686	2207							
cyaA	2547	7987	10302	12596	12010	7896	11693							
cyaY	321	824	723	747	1505	1835	1618							
cybB	531	1219	1219	1486	928	824	1342							
cybC	387	1307	1388	996	1466	1882	1060							
cycA	1404	3000	2672	1774	1771	1185	1322							
cydA	1569	55841	44479	65337	52875	46687	74927							
cydB	1140	23897	25571	28166	27355	26470	37642							
cydC	1722	612	842	1102	2745	1993	992							
cydD	1767	1140	1239	1709	3237	2659	1278							
cyoA	957	4323	4458	1501	2041	827	1613							
cyoB	1992	4505	6751	2006	2419	730	1902							
cyoC	516	2165	2167	460	529	168	455							
cyoD	330	3746	3507	565	559	188	638							
cyoE	891	6207	7247	1362	1325	427	1105							
cypD	1872	11315	10719	18112	11429	15837	15904							
cysA	1098	113	140	108	354	134	142							
cysB	975	2168	2213	2562	2350	2219	3208							
cysC	606	105	92	120	122	114	91							
cysD	909	150	86	149	222	82	121							
cysE	822	1570	1788	2312	3138	2765	2145							
cysG	1374	579	367	545	3176	1278	414							
cysH	735	94	105	67	196	90	53							
cysI	1713	234	265	282	532	211	162							
cysJ	1620	168	178	211	273	92	79							
cysK	972	2037	2297	3168	4055	2243	2218							
cysM	912	230	263	390	514	363	310							
cysN	1440	341	335	250	487	310	402							
cysP	1017	174	259	209	395	358	303							
cysQ	741	2009	1933	1146	1677	1583	1519							
cysS	1386	3506	3110	4429	5930	3959	4934							
cysU	834	60	71	104	209	102	72							
cysW	876	72	98	113	325	171	147							
cysZ	762	498	440	810	736	1017	718							
cytR	1026	1647	1330	1941	4033	2494	2336							
dacA	1212	2234	2484	3956	7244	5464	2772							
dacB	1434	1085	1154	1389	1113	756	748							
dacC	1203	8035	8209	2567	2358	1868	1446							
dacD	1173	1542	1585	2365	1764	4197	3916							
dadA	1299	1143	1065	333	256	173	328							
dadX	1071	563	756	190	176	161	237							
dam	837	2134	2926	3876	6541	3919	3784							
damX	1278	3143	3412	4480	10090	5723	5938							
dapA	879	3350	3645	7245	11059	9233	6566							
dapB	822	573	519	665	1217	629	648							
dapD	825	2585	3169	4886	9728	4498	4916							
dapE	1128	1253	1474	1383	1120	1015	1408							
dapF	828	1354	1646	1888	2893	1938	2234							
dbpA	1374	879	920	462	406	252	182							
dcd	582	659	667	827	1007	525	559							
dcm	1431	1045	1280	1929	1965	1720	1970							
dcoC	249	2	3	4	0	3	4							
dcp	2043	966	856	1626	1773	1412	1251							
dctA	1287	28171	18615	16066	7357	11885	18987							
dcuA	1185	22267	19337	39407	33724	64983	70782							
dcuB	1341	2471	2894	20378	2754	10346	1570							
dcuC	1254	414	360	746	1147	1191	561							
dcuR	720	1728	1288	2046	725	1593	937							
dcuS	1632	1421	1232	1860	1199	1890	1904							
ddg	921	1480	2621	2646	13510	5508	7176							
ddl (NC_011294 152296..153217)	921	3545	4527	5999	7186	4776	5106							
ddl (NC_011294 412926..414021)	1095	3154	3074	5077	5946	6499	4145							
deaD	1890	4547	8212	12271	18242	6672	9998							
dedA	660	835	1024	1953	2944	2369	1252							
dedD	675	1270	1273	1546	2217	1636	1159							
def	510	4039	3941	3790	3525	4668	4280							
degQ	1368	2100	1827	2201	2565	1867	2354							
degS	1071	918	985	1149	1246	1135	923							
deoA	1323	1546	1476	1451	2644	1687	1212							
deoB	1224	4007	4194	4889	8008	7468	3179							
deoC	798	1736	1551	1655	2415	1639	1146							
deoD	720	2583	2727	3735	6453	6466	2656							
deoR	759	1737	2323	2008	2127	1207	1153							
dfp	1224	1247	985	1514	2664	2398	1124							
dgkA	369	1773	1248	1527	2982	3911	2561							
dgoA	1149	212	234	329	172	241	387							
dgoK	879	154	124	244	145	213	271							
dgoR	690	425	396	871	369	631	754							
dgoT	1293	375	397	441	543	568	531							
dgt	1518	2182	1760	1899	2054	1896	2431							
dinF	1326	868	967	1097	1770	1168	837							
dinG	2145	1319	1820	2180	4759	2089	2489							
dinI	246	521	438	503	697	316	268							
dinP	1056	1210	1232	887	1627	842	828							
dipZ	1704	602	921	934	1143	1633	1631							
djlA	813	1046	1165	1474	2504	1255	1806							
dkgA	828	4794	3935	1934	693	867	627							
dkgB	804	1058	701	1333	3277	4846	759							
dksA	456	7875	7429	9337	5053	5757	5153							
dld	1731	2369	2407	1823	3267	2773	1777							
dlhH	813	1581	1794	1080	1099	1357	956							
dmsA	2445	23690	21456	46158	23082	51420	37257							
dmsA1	2442	2061	2036	2494	1502	3029	3168							
dmsA2	2430	1297	826	1171	1786	3598	2204							
dmsA3	2436	1029	1498	3360	1186	2186	3410							
dmsB	618	2266	2499	5709	2684	6559	4732							
dmsB1	618	165	197	464	198	331	480							
dmsB2	627	164	144	172	517	389	269							
dmsC	864	2359	3045	7021	3860	9255	6856							
dmsC1	858	348	564	831	706	921	868							
dmsC2	774	33	33	62	212	68	79							
dnaA	1401	5716	5866	6931	8436	8005	4256							
dnaB	1416	1074	1133	1783	2571	2508	1630							
dnaC	738	1956	1766	2343	2648	2134	2685							
dnaE	3483	3319	4720	5658	14052	8751	3824							
dnaG	1746	8165	8641	6695	11989	8389	5205							
dnaJ	1140	4297	2732	1668	5419	1181	1976							
dnaK	1917	63414	17659	12987	139239	13847	24054							
dnaN	1101	1884	2142	2386	3944	3110	2060							
dnaQ	732	2554	1718	2435	1772	3119	2943							
dnaT	540	599	646	861	1029	821	804							
dnaX	1929	1407	2240	2373	3081	1973	1524							
dpiA	681	419	382	490	224	346	459							
dpiB	1662	921	1195	1132	453	789	1524							
dppA	1557	22929	23090	4398	33919	39631	4128							
dppB	1020	832	1312	271	3314	2724	181							
dppC	903	307	457	125	1458	1080	58							
dppD	984	775	1542	495	6414	4272	229							
dppF	1014	500	875	343	4455	2617	160							
dps	504	192399	91189	43625	1559	11042	9001							
dsbA	624	4567	4428	10085	21189	11020	7099							
dsbB	531	567	717	884	1303	1075	834							
dsbC	663	1678	1763	2834	4023	3164	3163							
dsbG	747	931	1046	537	1840	1579	800							
dsdA	1323	485	420	636	1301	633	415							
dsdC	924	246	210	230	199	321	191							
dsdX	1338	187	147	206	276	178	140							
dut	456	761	662	1160	1846	1705	1175							
dxr	1197	1086	1422	2268	2482	1992	1986							
dxs	1863	3376	4043	6676	9239	7394	5220							
ecnB	147	14268	14488	2718	218	771	829							
ecnR	588	5724	5119	1604	363	639	395							
eco	495	882	828	1832	1765	2934	3819							
eda	642	422	429	757	1448	998	457							
edd	1812	307	330	492	2826	955	293							
efp	567	3297	3252	5957	8183	7562	5354							
ego	1536	51906	25921	15971	1771	15269	33321							
elaA	462	586	542	678	638	1154	672							
elaB	312	8784	11154	6509	616	837	365							
elaC	918	419	507	548	448	426	664							
emrA	1173	1720	1589	1631	3303	2871	2228							
emrB	1539	313	447	367	1283	782	381							
emrD	1185	539	516	593	290	538	418							
emrR	531	4832	4255	4422	6201	9442	6866							
emtA	612	652	694	672	235	185	272							
endA	708	31	33	43	118	63	40							
engA	1473	1622	2040	3173	8657	4903	2760							
engB	600	1893	1679	2197	3750	1984	2115							
eno	1299	37819	41508	72133	220661	173649	53691							
entA	756	28	28	37	34	39	23							
entB	858	51	86	53	39	72	33							
entC	1176	21	49	27	24	59	34							
entD	705	147	119	104	79	65	63							
entE	1611	29	42	71	87	42	26							
entF	3885	199	222	238	188	232	214							
envE	522	865	780	2017	1056	1559	2279							
envF	789	749	328	230	109	296	132							
envR	663	191	59	118	26	46	68							
envZ	1236	872	995	909	1828	1368	854							
epd	1047	2306	2251	3470	8008	5824	3332							
era	906	4606	4796	5193	7205	5379	3108							
erfK	930	3730	2951	1950	1678	1826	4094							
eutA	1404	132	219	134	53	38	48							
eutB	1362	327	445	419	142	180	260							
eutC	897	130	189	130	40	36	38							
eutD	1017	27	59	154	17	22	43							
eutE	1404	46	95	310	61	63	98							
eutG	1188	25	53	88	8	12	28							
eutH	1227	314	448	380	151	120	151							
eutJ	840	24	86	179	22	44	56							
eutK	495	77	114	80	28	17	38							
eutL	660	218	208	165	61	76	88							
eutM	291	40	57	78	15	7	46							
eutN	300	23	70	157	24	29	100							
eutP	480	152	320	826	59	60	358							
eutQ	690	117	179	468	32	82	263							
eutR	1053	374	429	382	191	230	253							
eutS	336	127	246	729	30	82	301							
eutT	804	54	95	340	37	37	123							
exbB	735	1980	2256	2072	4029	3319	2317							
exbD	426	800	828	737	1120	844	745							
exoX	699	3532	3996	3804	1644	1326	1371							
fabA	519	1393	2107	2468	5103	3604	2188							
fabB	1215	7089	5899	5151	19952	9347	12384							
fabD	930	1282	1940	2880	6961	3942	2721							
fabF	1206	8239	9585	14592	19590	16031	14261							
fabG	735	9358	9350	11351	17982	13295	14728							
fabH	954	1234	1706	2624	5458	2906	2343							
fabI	789	4028	3791	8393	11532	10359	6088							
fabZ	456	2669	3176	4766	8684	5356	4347							
fadA	1164	786	737	322	189	237	298							
fadB	2190	1355	1385	711	575	554	656							
fadD	1686	1870	1714	2005	3614	2181	1920							
fadE	2445	1000	949	644	429	623	525							
fadH	2019	607	783	527	350	294	340							
fadI	1311	629	735	351	225	199	282							
fadJ	2148	5546	4775	2791	8202	2293	3025							
fadL	1314	2609	2033	1051	2216	1002	976							
fadR	720	5314	6142	7263	7448	7391	8334							
fba	1080	15001	16716	24409	59667	50559	35613							
fbaB	1053	4521	7371	4514	297	797	227							
fbp	999	11633	9844	13781	11152	21131	27246							
fdhD	837	827	834	1111	1355	1195	1183							
fdhE	930	808	1004	822	1382	722	1129							
fdhF	2148	2005	2049	2710	9927	3536	2740							
fdnG	3048	2081	2693	5402	20947	6188	4980							
fdnH	885	463	800	1206	5421	1288	1691							
fdnI	657	1003	1255	1891	7440	1373	2007							
fdoG	3051	26130	29339	18327	18280	13568	33814							
fdoH	903	1913	3008	1904	1995	1834	3827							
fdoI	636	4611	6067	3990	4605	2223	7105							
fdrA	1665	39	42	121	14	52	10							
fdx	336	797	1136	1710	2547	2108	2176							
feoA	228	553	535	640	753	783	714							
feoB	2319	2654	3100	3727	5230	3962	4016							
fepA	2256	857	688	621	571	692	705							
fepB	957	76	51	101	61	49	34							
fepC	795	167	164	188	322	254	301							
fepD	1008	49	26	34	29	27	18							
fepE	1137	2257	1935	1560	3711	2174	3502							
fepG	990	95	80	99	99	98	71							
fes	1215	52	39	30	33	9	31							
ffh	1362	5143	5877	8109	11881	8372	8974							
fhlA	2079	2177	2473	3926	7787	6526	3093							
fhuA	2244	1410	1132	1232	2153	1185	1289							
fhuB	2058	55	97	51	125	72	48							
fhuC	798	37	46	68	121	73	71							
fhuD	891	111	115	95	236	143	110							
fhuE	2175	363	366	504	386	330	424							
fhuF	789	179	203	155	143	145	171							
fic	603	1935	1595	471	468	267	148							
fidL	465	1714	1244	695	120	193	627							
fieF	903	1562	1623	2203	3679	2665	1786							
fimA	543	1533	1621	4075	25	286	27210							
fimC	693	435	465	1192	5	44	6430							
fimD	2613	596	740	1422	93	170	6440							
fimF	519	130	126	168	20	30	845							
fimH	1008	326	384	669	70	74	2395							
fimI	534	231	265	729	6	44	5441							
fimW	597	224	132	227	24	71	1792							
fimY	723	475	275	360	51	262	1300							
fimZ	633	414	238	399	15	149	2379							
fis	297	1339	1652	2455	3845	2987	2363							
fixA	771	48	45	153	80	186	287							
fixB	942	18	21	37	27	54	154							
fixC	1287	134	123	190	159	165	338							
fixX	270	5	15	19	10	22	28							
fklB	663	230	352	358	1250	448	408							
fkpA	819	6421	8488	11834	47729	32729	15729							
fldA	531	3357	2622	3604	3906	6962	3226							
fldB	522	1806	1720	2793	3232	2451	3193							
flgA	660	336	195	194	25	25	33							
flgB	417	1371	1101	1459	73	51	59							
flgC	405	486	551	584	25	28	12							
flgD	699	1156	1569	1427	65	64	25							
flgE	1212	2596	3292	3261	190	142	83							
flgF	756	535	764	597	32	47	19							
flgG	783	687	1051	834	42	17	32							
flgH	699	766	1119	882	76	61	39							
flgI	1098	370	668	581	35	36	38							
flgJ	951	546	819	636	51	67	37							
flgK	1662	58370	49748	43987	349	719	430							
flgL	954	21126	24890	23360	522	625	510							
flgM	294	10138	9357	8399	52	173	109							
flgN	423	11610	11634	10772	162	244	192							
flhA	2079	905	1388	1383	263	196	136							
flhB	1152	566	877	1005	65	115	17							
flhC	579	5354	5373	14323	4364	3086	1706							
flhD	351	8830	8130	17457	5325	4853	3258							
flhE	393	65	103	58	19	28	10							
fliA	720	15784	14868	17551	143	146	149							
fliB	1206	6342	6154	3285	189	152	661							
fliD	1407	186803	93163	45838	1227	2175	3544							
fliE	315	169	78	115	12	19	11							
fliF	1683	1462	1187	994	40	41	20							
fliG	996	1025	1165	874	129	97	86							
fliH	708	334	508	387	51	46	19							
fliI	1371	480	689	452	27	38	17							
fliJ	444	919	879	818	64	86	52							
fliK	1218	579	720	401	42	29	29							
fliL	468	732	631	475	57	38	55							
fliM	1005	4128	3855	3311	348	428	216							
fliN	414	1115	1023	892	118	62	30							
fliO	378	189	274	162	31	14	20							
fliP	738	633	872	799	237	336	424							
fliQ	270	242	363	460	264	338	516							
fliR	795	509	763	1325	444	969	3288							
fliS	408	15552	13955	10296	117	182	249							
fliT	369	10644	10068	8525	133	164	279							
fliY	801	10641	9085	8950	2881	2711	3936							
fliZ	552	14018	13256	14747	445	555	1020							
